adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,optional4
Abyei,"SDN, SSD",28.415755,9.786952,,,,,,,
Afghanistan,AFG,66.026881,33.831602,12.04.2022,"<a href=""https://www.gov.uk/foreign-travel-advice/afghanistan"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://af.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/
  <a href=""https://moph.gov.af/en/all-news"">Ministry of Public Health</a>/","Latest News: 
 <br>
  <br>
International Restrictions:<br>
*Entry to Afghanistan: The authorities in Afghanistan set and enforce entry rules. For further information contact the embassy or consulate of the country or territory you’re travelling to. You should also consider checking with your transport or travel provider to make sure your passport and other travel documents meet their requirements. <br>
You should also check specific COVID-19 test requirements airlines and transit countries have in place in advance of your flight. Airlines may refuse boarding if their requirements are not met. <br>
  <br>
  <br>
Internal Restrictions: <br>
*Travel in Afghanistan: Healthcare in Afghanistan is very limited. Medical facilities, including those in Kabul, do not have the capacity or capability to effectively deal with the COVID-19 outbreak. The supply of ICU beds and ventilators is low. There are areas which have no medical facilities with ICU beds and ventilators.<br>
There is no guarantee that any local health care will be available in the current security situation. Whilst an estimated 30 per cent of the population had been exposed to COVID-19 by June 2020, WHO warns that widespread complacency and failure to follow public health advice is creating grave risks in the community with people generally not observing physical distancing or mask-wearing protocols.
",20220412,,,
Akrotiri,xUK,32.923365,34.638024,,,,,,,
Aksai Chin,"AKS, CHN",79.132432,35.030488,,,,,,,
Åland Islands,ALA,19.80946,60.15449,,,,,,,
Albania,ALB,20.066643,41.138926,06.05.2022,"<a href=""https://www.gov.uk/foreign-travel-advice/albania"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://al.usembassy.gov/updates_covid19/"">US State Dept. COVID-19 Country Specific Information</a>/ 
  <a href=""https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories"">OSAC Travel Advisories</a>/
 <a href=""https://infocoronavirus2019.al/"">Institute of Public Health</a>/","Latest news: 
<br>
<br>
International Restrictions:<br>
*All travellers: As of 1 May 2022, all COVID-19 related travel requirements have been lifted. Travellers no longer need to show proof of vaccination against COVID-19 or a negative PCR test in order to enter Albania. All passengers who are allowed to enter the territory of the Republic of Albania, in addition to complying with international airline standards and protocols, must also adhere to the rules listed below: <br>
•        only travelling passengers can enter the airport building<br>
•        passengers must maintain social distancing of 1.5 meters during their entire time in the airport<br>
•        priority is given to the elderly, people in need and families with children (minors)<br>
for more information, see the <a href=""https://www.tirana-airport.com/c/116/measures-and-rules/"">Tirana International Airport website</a>.<br>
*Transiting Albania if you’re travelling to neighbouring countries. You can transit Albania on your way to another country without showing proof of vaccination against COVID-19 or a negative PCR test. All land borders are open. Neighbouring countries may have different entry and exit restrictions on their side of the border. <br>
 <br>
 <br>
Internal Restrictions:<br>
*Moving around in Albania: For information on entering Albania, see Entry requirements. If you are in Albania, you should adhere to instructions and follow the advice of the local authorities. <br>
As of 1 May 2022 the curfew has been lifted and the wearing of face masks is no longer mandatory. There are currently no restrictions on movement within Albania. Public transport and taxis are operating as normal. <br>
*Public places and businesses: Bars and restaurants are open with no curfew. Delivery services remain available. As of 1 May 2022 nightclubs have re-opened. The restriction which limited outdoor gatherings to 50 people or fewer has been lifted. <br>
Sports championships, theatre, artistic and cultural performances, and conferences, are allowed, with full audiences.




",20220506,,,
Algeria,DZA,2.678028,28.157361,17.03.2022,"<a href=""https://www.gov.uk/foreign-travel-advice/algeria"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://dz.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/
 <a href=""http://covid19.cipalgerie.com/en/"">International Press Centre</a>/
WFP Sources.","Latest News: 
  <br>
  <br>
 International Restrictions: <br>
*Entry to Algeria: Air, land and sea borders are now partially open. You should check with the Algerian authorities for any entry requirements. <br>
Testing/screening on arrival: You should check with the Algerian authorities for any entry requirements including COVID testing. <br>
From 20 March 2022, entry to Algeria requires evidence of a vaccine pass issued less than nine months before travel, or a negative PCR test taken less than 72 hours before the time of arrival for unvaccinated people, and those whose vaccine pass was issued over nine months before travel. You should arrange to take a private test. Temperature checks may be undertaken on arrival. <br>
Quarantine requirements: Check with the Algerian authorities for any entry requirements including quarantine requirements. <br>
Data collection: Contact details are taken on arrival in country, including address. <br>
Testing on departure: Temperature checks are sometimes carried out before entering the airport. <br>
<br><br>
Internal Restrictions: <br> 
*Travel in Algeria: Travel between provinces is now permitted. Since 1 July 2020, local authorities nationwide have powers to enact additional measures in cluster areas, with the approval of central authorities. As a result, localised lockdowns are possible, and markets and other areas with a high concentration of shops could be shut down with limited notice for at least 15 days. <br>
All security services and local authorities have been instructed to rigorously monitor and enforce compliance with preventive and other social distancing measures. Penalties include fines up to the equivalent of £600, and 6 months imprisonment. <br>
The wearing of facemasks became mandatory on 24 May 2020 in all public spaces, including when using public transport, and within taxis. <br>
*Accommodation: Hotels are open, with compulsory sanitary measures in place; facilities may be restricted.
*Public places and services: Recreational areas, beaches, cultural centres, sports facilities, restaurants, fast food outlets, cafes and most markets are open. Weddings, funerals and other large gatherings are allowed within certain rules.
Primary schools, secondary schools and universities reopened in 2020, with additional COVID-19 measures in place. The 2021 to 22 school year began on 21 September. Universities re-opened in October 2021. <br>
*If you test positive for COVID-19, you may need to stay where you are until you test negative. You may also need to seek treatment there.

",20220317,,,
American Samoa,ASM,-170.71806,-14.300686,29.07.2020,"<a href=""https://www.americansamoa.gov/immigration-info"">American Samoa Immigration</a>/","Latest News: 
 <br>
 <br>
International Restrictions:<br>
*Travel into American Samoa: To prevent the spread of coronavirus, American Samoa currently requires all non-US passport holders to spend at least 14 days in Hawaii, Samoa (Apia) or Tonga before entering. Other restrictions for those travelling from countries affected by the outbreak could also be in force. If you’re due to travel, check the American Samoa Government <a href=""https://www.americansamoa.gov/"">website</a> and the US Center for Disease Control and Prevention <a href=""https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa?s_cid=ncezid-dgmq-travel-single-001"">website</a>, and check with your airline before leaving. You should also check with your airline or travel agent for any additional information about existing travel bookings.
 <br>
 <br>
Internal Restrictions: <br>
*Travel within American Samoa: Social distancing methods are to be encouraged such as video conferencing, phone calls, emails for communication. All off-island medical referrals to New Zealand are suspended. The option will be considered only for medical emergencies and be at the discretion of LBJ physicians. All public gatherings are suspended until further notice. This includes, but is not limited to, bingo halls, rallies, political events, theaters, traditional gatherings, parks and recreation areas, flight night gatherings, and major sponsored events. Only private family gatherings of no more than ten (10) people will be permitted. DPS is tasked with ensuring that public gatherings disperse. All businesses will only be allowed to operate from 6am to 6pm. Only those businesses that impact food security are exempted from operating hours restrictions. Restaurants, bars, and nightclubs will be limited to no more than ten (10) person occupancy. Businesses are encouraged to keep their facilities sanitized. All drive-thru and takeaway restaurants may remain open until 10:00 pm daily. Further advisories will be issued from the Governor that may adjust restrictions on businesses as necessary. All public transportation services are to cease operations at 6pm except for buses under contract with Starkist to provide transportation for employees of the canneries.During hours of operation, buses and taxis must institute social distancing practices. Each bus and taxi may only operate at half the seating capacity.",20200729,,,
Andorra,AND,1.576279,42.545479,17.06.2022,"<a href=""https://www.gov.uk/foreign-travel-advice/andorra"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://al.usembassy.gov/updates_covid19/"">US State Dept. COVID-19 Country Specific Information</a>/","Latest News: 
 <br>
 <br>
International Restrictions: <br>
*All travellers: All travel to Andorra takes place through neighbouring France or Spain. You must ensure you meet the entry requirements for the country you are travelling through. <br>
If you’re travelling to Andorra via Spain and not staying overnight in Spain, then when completing Spain’s online Health Control Form you should use the address of your arrival airport as the address of your stay. <br>
All travellers are advised by the Andorran authorities to take preventive measures (including social distancing, hands sanitation and wearing masks) and to minimise social interactions. <br>
All travellers should follow the advice of the local authorities on how best to protect themselves and others, including any measures that they bring in to control the virus. Plan ahead in case you present symptoms or test positive for COVID-19 during your stay in Andorra. <br>
For further information, visit the <a href=""https://visitandorra.com/en/covid-19-in-andorra/"">Andorra COVID information page</a>. <br>
*If you’re fully vaccinated: Entry requirements for Andorra are the same for all travellers, regardless of COVID-19 vaccination status. <br>
*Proof of vaccination status: You don’t need to provide your vaccination status for entry to Andorra. <br>
*If you’re not fully vaccinated: Entry requirements for Andorra are the same for all travellers, regardless of COVID-19 vaccination status. <br>
*If you’ve had COVID-19 in the past year: Entry requirements for Andorra are the same for all travellers regardless of whether you have tested positive for COVID-19 in the past year.<br>
*Children and young people: Entry requirements for Andorra are the same for all travellers, including children and young people. <br>
*If you’re transiting through Andorra: Transiting is when you pass through one country on the way to your final destination. It is not possible to transit through Andorra. All travel into Andorra requires transit via neighbouring France or Spain. You must ensure you meet the entry requirements for the country you are travelling through. <br>
Exemptions: There are no exemptions. <br>
<br>
<br>
Internal Restrictions: <br>
*Travel in Andorra: The Andorran authorities have various restrictions in place including social distancing of 1.5m unless specific protocols are in place. The use of a mask is not mandatory in public spaces and on urban roads, provided that there are no crowds of people that do not allow you to maintain the minimum distance of 1.5 meters. The use of face masks is mandatory in enclosed public premises such as bars, restaurants, shops and cultural establishments, among others. All people eight years old and over are required to wear masks. <br>
Groups of up to 10 people are able to meet indoors and up to 20 in outdoor spaces, including in private spaces. Limits to capacity are also in place in shops and other places of interest, and you should follow the instructions displayed locally. Similar restrictions are in place in gyms and sports centres. Smoking is not permitted in any public area. <br>
A COVID certificate must be shown by those 16 years of age and over to access most public places, including bars, restaurants, tourist accommodation, spas and other tourism activities. The Andorran authorities consider either a vaccination certificate, a recovery certificate, or a negative diagnostic test as an acceptable COVID certificate. A COVID certificate must also be presented in all of Andorra’s skiing areas: this applies to all those taking part in a sporting activity (including downhill skiing, snowshoeing and other activities) as well as those wishing to enter ski lifts, restaurants and enclosed spaces. <br>
You can find more information regarding the measures in place on the <a href=""https://visitandorra.com/en/covid-19-in-andorra/"">Andorran government website</a>. <br>
*Accepted forms of COVID certificate: Proof of vaccination status. Andorra will accept proof of COVID-19 recovery and vaccination record. It will also accept proof of COVID-19 vaccination record issued in the Crown Dependencies. Documents can be in English, Spanish, French or Catalan and in paper or electronic format. Your appointment card from vaccination centres is not designed to be used as proof of vaccination and cannot be used to demonstrate your vaccine status. <br>
At least 14 days must have passed since being fully vaccinated (with both doses of a two-dose vaccine or one dose of a single-dose vaccine). Your date(s) of vaccination must be specified and your final dose must have been administered within the last 270 days. If you completed your vaccination (with both doses of a two-dose vaccine or one dose of a single-dose vaccine) more than 270 days ago, you must be able to show proof of having received a booster jab. There is no requirement for 14 days to have passed since receiving your booster jab. <br>
*Diagnostic test: The Andorran authorities accept either a TMA or PCR diagnostic certificate with a negative result carried out within the previous 72 hours, or a certificate of a negative result for an antigen test performed within the previous 12 hours. <br>
The accrediting documentation may be written in Catalan, Spanish, French or English, can be presented in digital or physical format and must contain at least the following information: name and surname(s) of holder, issuing country, date and time of sample and test type. <br>
*Recovery certificate: Under the Andorran rules, a recovery certificate must be issued by the competent authority or a medical service at least 11 days after the first positive TMA or PCR test. This certificate is valid for 180 calendar days from the date the sample was taken for this TMA or PCR test. <br>
The accrediting documentation may be written in English, Spanish, French or Catalan, can be presented in digital or physical format and must contain at least the following information: name and surname(s) of holder, date of sample of first test with positive result, test type and issuing country. Children under the age of 16 are exempt from presenting the certificate, but must follow preventive measures.
 

",20220617,,,
Angola,AGO,17.577532,-12.337524,17.08.2022,"<a href=""https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories"">OSAC Travel Advisories</a>/
  <a href=""https://ao.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/ 
  <a href=""https://www.gov.uk/foreign-travel-advice/angola"">Foreign travel advice, Gov.UK</a>/
  <a href=""https://governo.gov.ao/ao/"">Ministry of Health</a>/","Latest News: 
  <br>
  <br>
International Restrictions: <br>
*All travellers: If you are entering or travelling through Angola from another country, you will need to show evidence of a negative COVID-19 PCR test completed 72 hours before departure. Some airlines accept an antigen test completed 24 hours before departure if you are fully vaccinated. Please check with your airline or travel agent before you travel. <br>
In addition to the above requirement, all arriving passengers entering are required to undergo a rapid COVID-19 test immediately on disembarkation from the plane at no cost. The test is undertaken in a hangar at the airport. It usually takes approximately 20 to 40 minutes, depending on the number of passengers being processed, but it is advisable to carry water and refreshments in case there is a long wait. <br>
The Angolan government no longer require a negative PCR test to exit Angola, however, you are strongly advised to check with your airline in advance of your travel as the rules may differ depending on your airline or destination. <br>
*If you’re fully vaccinated: If you’re fully vaccinated, you can enter Angola without needing to quarantine regardless of your reason for travel. <br>
Only vaccines authorised by the European Medicines Agency or by the <a href=""https://www.who.int/teams/regulation-prequalification/eul/covid-19"">World Health Organisation  </a> are accepted. All passengers who are fully vaccinated and test negative on disembarkation are exempt from any quarantine requirements. <br>
Any passenger (vaccinated or not) receiving a positive COVID-19 result may be required to go into mandatory quarantine at a government facility for observation and further testing. <br>
Proof of vaccination status: Angola will accept the proof of COVID-19 recovery and vaccination record. Your appointment card from vaccination centres is not designed to be used as proof of vaccination and should not be used to demonstrate your vaccine status. <br>
*If you’re not fully vaccinated: If you’re not fully vaccinated, you may be advised to undertake self-quarantine for 7 days. <br>
*Children and young people: Travellers of any age, including children under 12 years old, travelling by air or sea must present evidence of a negative COVID-19 PCR test completed 72 hours before departure to enter or travel through Angola. Children under the age of 12 years old do not need to show proof of vaccination on entry to Angola. <br>
There are additional requirements for passengers under 18 entering or transiting through Angola without their parents or legal guardian, or travelling with one parent only. These requirements don’t usually apply to foreign nationals, but as a precaution and to avoid any possible delays, foreign nationals under 18 entering or transiting through Angola without their parents or legal guardian, or travelling with one parent only, are advised to bring a letter of authorisation to travel from any parent(s) not travelling. <br>
*If you’re transiting through Angola: Transiting is when you pass through one country on the way to your final destination. Check with your airline before departing. <br>
*Exemptions: There are no exemptions to Angola’s entry requirements <br>
<br>
<br>
Internal Restrictions: <br> 
*Travel in Angola: Travel around the country is permitted, but the Angolan government has imposed a number of restrictions and public health measures to limit the spread of the virus. <br>
Face masks are compulsory in all enclosed public areas including public transport, shops, and educational facilities. Immediate on-the-spot fines may be issued for non-compliance. <br>
*Accommodation: A number of hotels and private rentals may continue to operate with some restrictions and coronavirus precautionary measures in place. You should contact your accommodation provider before booking to confirm whether restrictions are in place. <br>
*Public places and services: A number of shops, banks, restaurants and markets may continue to operate, with some restrictions (e.g. reduced opening hours).You may be required to show proof of vaccination in order to enter. Angola will accept the  proof of COVID-19 vaccination record and proof of COVID-19 vaccination issued in the Crown Dependencies. It is recommended that you carry a printed copy whilst in Angola. Your appointment card from vaccination centres is not designed to be used as proof of vaccination and should not be used to demonstrate your vaccine status. <br>
*If you test positive, the Angolan authorities may occasionally conduct wellbeing checks during the period of quarantine, to ensure self-isolation compliance. You are not permitted to leave your accommodation during self-isolation. Food and household essentials can be ordered online and will be delivered to your hotel room or private accommodation.
",20220817,,,"

"
